Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Fluent languages,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
65f32af1ec21259544158af3,5cf6d5545d6e680019857203,APPROVED,Not Applicable,2024-03-14T16:51:50.448000Z,2024-03-14T17:07:22.404000Z,2024-03-14T17:07:41.593000Z,2024-03-14T17:07:23.187234Z,932.0,C1JX727W,286,"Estonian, English",27,Female,White,Estonia,Estonia,Estonia,Estonian,DATA_EXPIRED,DATA_EXPIRED
65f32afc42dd9db65fec253f,610d4f4fe67b7a3fc45cc2cd,APPROVED,Not Applicable,2024-03-14T16:51:08.583000Z,2024-03-14T17:09:13.224000Z,2024-03-14T17:09:19.025000Z,2024-03-14T17:09:13.744319Z,1085.0,C1JX727W,170,"Portuguese, English",25,Female,White,"Venezuela, Bolivarian Republic of",Portugal,Portugal,Portuguese,No,Unemployed (and job seeking)
65f32afe9f6e44f4934c93d0,5ea9a27bcca7db0d996939b0,APPROVED,Not Applicable,2024-03-14T16:51:10.586000Z,2024-03-14T17:06:56.337000Z,2024-03-14T17:06:59.711000Z,2024-03-14T17:06:56.863462Z,946.0,C1JX727W,171,"English, Polish",18,Female,White,Poland,Poland,Poland,Polish,DATA_EXPIRED,DATA_EXPIRED
65f32aff06eb77f36d71d9f2,652ae554aab4f12eaae740c0,APPROVED,Not Applicable,2024-03-14T16:58:41.064000Z,2024-03-14T17:20:20.645000Z,2024-03-14T17:20:25.100000Z,2024-03-14T17:20:21.190083Z,1300.0,C1JX727W,111,"Polish, English",21,Female,White,Poland,Poland,Poland,Polish,Yes,Other
65f32b00b466e9cf437bc700,5e84b9cd3c01b3072fac9470,APPROVED,Not Applicable,2024-03-14T16:51:12.172000Z,2024-03-14T17:06:04.006000Z,2024-03-14T17:06:09.528000Z,2024-03-14T17:06:04.442184Z,892.0,C1JX727W,401,"English, Japanese, Polish",28,Female,White,Poland,Poland,Poland,Polish,DATA_EXPIRED,DATA_EXPIRED
65f32b06cd6885d5402952f8,601e1cae7d6414276e39e5db,APPROVED,Not Applicable,2024-03-14T16:51:18.141000Z,2024-03-14T17:18:57.978000Z,2024-03-14T17:19:31.500000Z,2024-03-14T17:18:58.663521Z,1660.0,C1JX727W,190,"English, Spanish",21,Female,Other,Mexico,Mexico,Mexico,Spanish,Yes,"Not in paid work (e.g. homemaker', 'retired or disabled)"
65f32b08a77c3f9bf620cb01,6166ef334de9e433e83bfb79,APPROVED,Not Applicable,2024-03-14T16:51:38.652000Z,2024-03-14T17:11:37.402000Z,2024-03-14T17:13:24.888000Z,2024-03-14T18:11:46.182415Z,1199.0,C1JX727W,131,English,21,Female,Black,South Africa,South Africa,South Africa,English,Yes,Other
65f32b13f252a090db56ab77,6106e9f1880fb0b44c319ced,APPROVED,Not Applicable,2024-03-14T16:51:37.459000Z,2024-03-14T17:12:01.358000Z,2024-03-14T17:12:04.525000Z,2024-03-14T17:12:01.857522Z,1224.0,C1JX727W,223,"Portuguese, English",22,Female,White,Portugal,Portugal,Portugal,Portuguese,Yes,Part-Time
65f32b2a7c0b3900e7d776b2,6010270c35414d28eb135e23,APPROVED,Not Applicable,2024-03-14T16:51:54.594000Z,2024-03-14T17:07:15.223000Z,2024-03-14T17:07:45.157000Z,2024-03-14T17:07:15.818110Z,921.0,C1JX727W,78,"English, Polish",21,Female,White,Poland,Poland,Poland,Polish,DATA_EXPIRED,DATA_EXPIRED
65f32b2f3a114f65182196df,6113e9e40c931a725473e624,APPROVED,Not Applicable,2024-03-14T16:52:09.684000Z,2024-03-14T17:11:42.129000Z,2024-03-14T17:12:07.463000Z,2024-03-14T17:11:42.637608Z,1173.0,C1JX727W,71,"Afrikaans, English, German",23,Female,Black,South Africa,South Africa,South Africa,English,Yes,Other
